"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";"Characteristics:Назначение кожи";"Characteristics:Тип сырья";"Characteristics:Вид кожи";"Characteristics:Минимальный заказ";Characteristics:Цвет;Characteristics:Особенности;Characteristics:Сорт;"Characteristics:Размер шкур";"Characteristics:Толщина (мм)";"Characteristics:Страна производства";"Characteristics:Вид покрытия";"Characteristics:Тип молнии";"Characteristics:Вид соединения";"Characteristics:Цвет тесьмы";"Characteristics:Цвет металла";Characteristics:Длина;"Characteristics:Происхождение сырья";Characteristics:Диаметр;Weight;Length;Width;Height;Unit;Portion;Url
851925173392;;;;;"Sandy Suede Taba - дм2 - Оттенок коричневого";;;;0.53;;;"Единица измерения:дм2;Оттенок цвета:Оттенок коричневого #6e3b12";;ziSXbsYbHnyIVpY6FahC;108574193192;;;;;;;;;;;;;;;;;;;0;0;0;0;;;https://ozelifkoja.ru/zamsha/tproduct/108574193192-sandy-suede-taba?editionuid=851925173392
895384262642;;;;"Замша;Замша / Гладкая";"Suede Bordo";;;https://static.tildacdn.com/stor6365-3232-4465-b336-653834623136/87011868.jpg;;;;"product_options:[{""title"":""Единица измерения"",""params"":{""view"":""buttons"",""hasColor"":false,""linkImage"":false}},{""title"":""Оттенок цвета"",""params"":{""view"":""buttons"",""hasColor"":true,""linkImage"":false}}]";;ZVTxEeeTNPDOs0ntAXhm;;Одежная;Овчина;Замша;;Бордовый;;;"5-6 фут2";0.6-0.7;;;;;;;;Африка;;0;0;0;0;FOT;1;https://ozelifkoja.ru/zamsha/tproduct/895384262642-suede-bordo
931858526732;;;;;"Suede Bordo - фут2 - Оттенок бордового";;;;5.50;;;"Единица измерения:фут2;Оттенок цвета:Оттенок бордового #70081d";;96REGmDTSjMDUVGlCVnG;895384262642;;;;;;;;;;;;;;;;;;;0;0;0;0;;;https://ozelifkoja.ru/zamsha/tproduct/895384262642-suede-bordo?editionuid=931858526732
362384214732;;;;;"Suede Bordo - дм2 - Оттенок бордового";;;;0.59;;;"Единица измерения:дм2;Оттенок цвета:Оттенок бордового #70081d";;YBZT4ELAR41IlK0Skt2v;895384262642;;;;;;;;;;;;;;;;;;;0;0;0;0;;;https://ozelifkoja.ru/zamsha/tproduct/895384262642-suede-bordo?editionuid=362384214732
814535079882;;;;"Одежная;Одежная / Гладкая";"Vegetale Visky";;;https://static.tildacdn.com/stor3037-3465-4662-a634-346639633561/56542986.jpg;;;;"product_options:[{""title"":""Единица измерения"",""params"":{""view"":""buttons"",""hasColor"":false,""linkImage"":false}},{""title"":""Оттенок цвета"",""params"":{""view"":""buttons"",""hasColor"":true,""linkImage"":false}}]";;0zRxv58jPOM5pYHRBzlg;;Одежная;Овчина;;;Коричневый;Арт-VEGETALEVISKY;1;"7-8 фут2";0.7-0.8;;"Натуральное крошение";;;;;;Турция;;0;0;0;0;FOT;1;https://ozelifkoja.ru/odejnayakozha/tproduct/814535079882-vegetale-visky
642728473452;;;;;"Vegetale Visky - фут2 - Оттенок коричневого";;;;5.00;;;"Единица измерения:фут2;Оттенок цвета:Оттенок коричневого #6e3b12";;2KgS4LLu3Fa3mNxc5SoV;814535079882;;;;;;;;;;;;;;;;;;;0;0;0;0;;;https://ozelifkoja.ru/odejnayakozha/tproduct/814535079882-vegetale-visky?editionuid=642728473452
125090328652;;;;;"Vegetale Visky - дм2 - Оттенок коричневого";;;;0.53;;;"Единица измерения:дм2;Оттенок цвета:Оттенок коричневого #6e3b12";;OAE9jy7nLB44hie42NG7;814535079882;;;;;;;;;;;;;;;;;;;0;0;0;0;;;https://ozelifkoja.ru/odejnayakozha/tproduct/814535079882-vegetale-visky?editionuid=125090328652
976103364862;;;;"Одежная;Одежная / Гладкая";"Vegetale Bordo";;;https://static.tildacdn.com/stor3838-3761-4837-b664-363831316631/47509149.jpg;;;;"product_options:[{""title"":""Единица измерения"",""params"":{""view"":""buttons"",""hasColor"":false,""linkImage"":false}},{""title"":""Оттенок цвета"",""params"":{""view"":""buttons"",""hasColor"":true,""linkImage"":false}}]";;dz6bcbtSoKTNZsYnAcxP;;Одежная;Овчина;;;Бордовый;Арт-VEGETALEBORDO;1;"9-10 фут";0.5-0.6;;"Натуральное крошение";;;;;;Турция;;0;0;0;0;FOT;1;https://ozelifkoja.ru/odejnayakozha/tproduct/976103364862-vegetale-bordo
966948227912;;;;;"Vegetale Bordo - Оттенок бордового";;;;5.00;;;"Единица измерения:;Оттенок цвета:Оттенок бордового #70081d";;AKs9GIeZJJmdlrdYPKZc;976103364862;;;;;;;;;;;;;;;;;;;0;0;0;0;;;https://ozelifkoja.ru/odejnayakozha/tproduct/976103364862-vegetale-bordo?editionuid=966948227912
242905470522;;;;;"Vegetale Bordo - Оттенок бордового";;;;0.53;;;"Единица измерения:;Оттенок цвета:Оттенок бордового #70081d";;GcmuPJiBNaMiYmDG3YrI;976103364862;;;;;;;;;;;;;;;;;;;0;0;0;0;;;https://ozelifkoja.ru/odejnayakozha/tproduct/976103364862-vegetale-bordo?editionuid=242905470522
